time,open,high,low,close
1999-04-19T01:00:00+03:00,7.098,7.098,7.098,7.098
1999-04-26T01:00:00+03:00,7.1464,7.152,7.0894,7.152
1999-05-03T01:00:00+03:00,7.115,7.1535,6.976,7.0415
1999-05-10T01:00:00+03:00,7.038,7.1147,7.038,7.059
1999-05-17T01:00:00+03:00,7.055,7.1564,7.055,7.1564
1999-05-24T01:00:00+03:00,7.1519,7.167,7.121,7.167
1999-05-31T01:00:00+03:00,7.2735,7.3475,7.262,7.319
1999-06-07T01:00:00+03:00,7.3771,7.3843,7.193,7.196
1999-06-14T01:00:00+03:00,7.216,7.3843,7.196,7.24
1999-06-21T01:00:00+03:00,7.277,7.3458,7.265,7.265
1999-06-28T01:00:00+03:00,7.3235,7.4337,7.2504,7.371
1999-07-05T01:00:00+03:00,7.418,7.4573,7.383,7.391
1999-07-12T01:00:00+03:00,7.4316,7.4926,7.402,7.4369
1999-07-19T01:00:00+03:00,7.4369,7.477,7.182,7.182
1999-07-26T01:00:00+03:00,7.1977,7.2713,7.043,7.044
1999-08-02T01:00:00+03:00,7.0741,7.1182,6.991,7.021
1999-08-09T01:00:00+03:00,7.0602,7.1018,7.049,7.1018
1999-08-16T01:00:00+03:00,7.1709,7.2357,7.06,7.06
1999-08-23T01:00:00+03:00,7.1072,7.2578,7.1,7.233
1999-08-30T01:00:00+03:00,7.232,7.2825,7.1222,7.1562
1999-09-06T01:00:00+03:00,7.1609,7.2691,7.108,7.2691
1999-09-13T01:00:00+03:00,7.2691,7.3866,7.2691,7.3298
1999-09-20T01:00:00+03:00,7.3298,7.3319,7.228,7.228
1999-09-27T01:00:00+03:00,7.3094,7.3094,7.1061,7.1061
1999-10-04T01:00:00+03:00,7.1145,7.1399,7.1067,7.1067
1999-10-11T01:00:00+03:00,7.1067,7.1889,6.9993,6.9993
1999-10-18T01:00:00+03:00,6.9993,7.1175,6.986,7.1175
1999-10-25T01:00:00+03:00,7.1175,7.2407,7.097,7.221
1999-11-01T00:00:00+02:00,7.2364,7.3347,7.231,7.298
1999-11-08T00:00:00+02:00,7.3347,7.3786,7.2757,7.348
1999-11-15T00:00:00+02:00,7.3786,7.4182,7.3259,7.37
1999-11-22T00:00:00+02:00,7.4182,7.5465,7.3904,7.5465
1999-11-29T00:00:00+02:00,7.5465,7.6374,7.5318,7.6374
1999-12-06T00:00:00+02:00,7.6374,7.6602,7.449,7.508
1999-12-13T00:00:00+02:00,7.498,7.6143,7.4802,7.4802
1999-12-20T00:00:00+02:00,7.4802,7.6015,7.4802,7.548
1999-12-27T00:00:00+02:00,7.5464,7.5994,7.522,7.5994
2000-01-03T00:00:00+02:00,7.5994,7.6629,7.345,7.4181
2000-01-10T00:00:00+02:00,7.5019,7.5303,7.436,7.515
2000-01-17T00:00:00+02:00,7.6019,7.6452,7.569,7.569
2000-01-24T00:00:00+02:00,7.567,7.8205,7.567,7.8205
2000-01-31T00:00:00+02:00,7.8205,7.9638,7.796,7.796
2000-02-07T00:00:00+02:00,7.8195,7.9014,7.7262,7.8492
2000-02-14T00:00:00+02:00,7.8492,7.89,7.761,7.761
2000-02-21T00:00:00+02:00,7.8202,7.8847,7.6412,7.8847
2000-02-28T00:00:00+02:00,8.049,8.049,7.9109,7.959
2000-03-06T00:00:00+02:00,8.0058,8.0617,7.968,7.996
2000-03-13T00:00:00+02:00,7.998,8.0339,7.931,7.954
2000-03-20T00:00:00+02:00,7.9713,8.0436,7.925,7.933
2000-03-27T01:00:00+03:00,7.9714,8.1525,7.9022,8.0591
2000-04-03T01:00:00+03:00,8.0591,8.1187,7.9712,8.039
2000-04-10T01:00:00+03:00,8.0603,8.0769,8.0081,8.039
2000-04-17T01:00:00+03:00,8.0486,8.1814,7.9694,8.154
2000-04-24T01:00:00+03:00,8.2013,8.4742,8.15,8.437
2000-05-01T01:00:00+03:00,8.4742,8.615,8.404,8.524
2000-05-08T01:00:00+03:00,8.552,8.6284,8.4213,8.4348
2000-05-15T01:00:00+03:00,8.4348,8.5846,8.336,8.5526
2000-05-22T01:00:00+03:00,8.5526,8.6129,8.2602,8.2602
2000-05-29T01:00:00+03:00,8.2516,8.2937,8.1272,8.145
2000-06-05T01:00:00+03:00,8.0772,8.1301,7.936,7.936
2000-06-12T01:00:00+03:00,8.0032,8.0514,7.864,7.8995
2000-06-19T01:00:00+03:00,7.8995,8.1082,7.89,8.082
2000-06-26T01:00:00+03:00,8.1082,8.1507,7.9445,7.9445
2000-07-03T01:00:00+03:00,7.9445,8.006,7.9033,7.966
2000-07-10T01:00:00+03:00,7.9931,8.0909,7.951,8.0909
2000-07-17T01:00:00+03:00,8.0909,8.2015,8.049,8.083
2000-07-24T01:00:00+03:00,8.094,8.1997,8.0339,8.134
2000-07-31T01:00:00+03:00,8.1997,8.3767,8.157,8.3254
2000-08-07T01:00:00+03:00,8.3254,8.4302,8.281,8.2907
2000-08-14T01:00:00+03:00,8.2907,8.3942,8.258,8.258
2000-08-21T01:00:00+03:00,8.2418,8.4389,8.2418,8.3791
2000-08-28T01:00:00+03:00,8.324,8.473,8.324,8.3609
2000-09-04T01:00:00+03:00,8.3541,8.6564,8.3541,8.6564
2000-09-11T01:00:00+03:00,8.6564,8.7675,8.6213,8.7105
2000-09-18T01:00:00+03:00,8.7105,8.8333,8.38,8.38
2000-09-25T01:00:00+03:00,8.4479,8.5719,8.427,8.483
2000-10-02T01:00:00+03:00,8.5323,8.5855,8.463,8.541
2000-10-09T01:00:00+03:00,8.5845,8.7049,8.567,8.6869
2000-10-16T01:00:00+03:00,8.6869,8.9533,8.6869,8.866
2000-10-23T01:00:00+03:00,8.8768,9.0994,8.8768,9.012
2000-10-30T00:00:00+02:00,9.0634,9.0634,8.602,8.602
2000-11-06T00:00:00+02:00,8.7318,8.8078,8.669,8.7424
2000-11-13T00:00:00+02:00,8.7424,8.8368,8.708,8.746
2000-11-20T00:00:00+02:00,8.8622,8.9707,8.8622,8.9451
2000-11-27T00:00:00+02:00,9.0125,9.0196,8.6209,8.6209
2000-12-04T00:00:00+02:00,8.6209,8.698,8.4599,8.5313
2000-12-11T00:00:00+02:00,8.5313,8.6874,8.409,8.409
2000-12-18T00:00:00+02:00,8.4421,8.4855,8.24,8.2466
2000-12-25T00:00:00+02:00,8.2466,8.2466,8.091,8.091
2001-01-01T00:00:00+02:00,8.1222,8.1222,7.94,7.964
2001-01-08T00:00:00+02:00,7.8957,8.0626,7.8957,7.945
2001-01-15T00:00:00+02:00,8.0265,8.1299,8.018,8.1299
2001-01-22T00:00:00+02:00,8.1299,8.3531,8.1293,8.3531
2001-01-29T00:00:00+02:00,8.3531,8.413,8.1592,8.1959
2001-02-05T00:00:00+02:00,8.1959,8.2908,8.113,8.2908
2001-02-12T00:00:00+02:00,8.277,8.512,8.277,8.4024
2001-02-19T00:00:00+02:00,8.355,8.5258,8.355,8.47
2001-02-26T00:00:00+02:00,8.4732,8.4732,8.186,8.186
2001-03-05T00:00:00+02:00,8.2677,8.2956,8.223,8.2484
2001-03-12T00:00:00+02:00,8.2119,8.4674,8.2119,8.4529
2001-03-19T00:00:00+02:00,8.5243,8.6574,8.2651,8.54
2001-03-26T01:00:00+03:00,8.5519,8.6882,8.3053,8.6755
2001-04-02T01:00:00+03:00,8.6882,8.6887,8.2978,8.2978
2001-04-09T01:00:00+03:00,8.6882,8.6882,8.407,8.407
2001-04-16T01:00:00+03:00,8.5167,8.5936,8.3954,8.3954
2001-04-23T01:00:00+03:00,8.5062,8.5062,8.285,8.5062
2001-04-30T01:00:00+03:00,8.5062,8.5062,8.2998,8.303
2001-05-07T01:00:00+03:00,8.5062,8.5062,8.2931,8.5062
2001-05-14T01:00:00+03:00,8.5062,8.5062,8.2617,8.275
2001-05-21T01:00:00+03:00,8.5062,8.5072,8.2848,8.5072
2001-05-28T01:00:00+03:00,8.5174,8.7229,8.498,8.6458
2001-06-04T01:00:00+03:00,8.5579,8.7935,8.497,8.7935
2001-06-11T01:00:00+03:00,8.571,8.7825,8.421,8.6336
2001-06-18T01:00:00+03:00,8.5145,8.6482,8.493,8.6142
2001-06-25T01:00:00+03:00,8.479,8.758,8.448,8.6577
2001-07-02T01:00:00+03:00,8.568,8.7947,8.53,8.5613
2001-07-09T01:00:00+03:00,8.456,8.4968,8.271,8.3724
2001-07-16T01:00:00+03:00,8.3543,8.3735,8.09,8.1309
2001-07-23T01:00:00+03:00,8.2459,8.2958,8.171,8.2958
2001-07-30T01:00:00+03:00,8.158,8.456,8.158,8.1753
2001-08-06T01:00:00+03:00,8.259,8.4895,8.259,8.3393
2001-08-13T01:00:00+03:00,8.2768,8.3668,8.164,8.2388
2001-08-20T01:00:00+03:00,8.133,8.2941,8.102,8.2941
2001-08-27T01:00:00+03:00,8.314,8.432,8.1806,8.2947
2001-09-03T01:00:00+03:00,8.246,8.468,8.1646,8.1646
2001-09-10T01:00:00+03:00,8.1647,8.2946,8.1105,8.2946
2001-09-17T01:00:00+03:00,8.1616,8.1945,8.0682,8.188
2001-09-24T01:00:00+03:00,8.2192,8.2623,8.2129,8.2456
2001-10-01T01:00:00+03:00,8.131,8.131,8.077,8.126
2001-10-08T01:00:00+03:00,8.108,8.108,8.108,8.108
2001-10-15T01:00:00+03:00,8.087,8.1841,8.087,8.1841
2001-10-22T01:00:00+03:00,8.204,8.3517,8.204,8.2683
2001-10-29T00:00:00+02:00,8.2865,8.3208,8.069,8.135
2001-11-05T00:00:00+02:00,8.2127,8.3077,8.171,8.3077
2001-11-12T00:00:00+02:00,8.242,8.4137,8.242,8.401
2001-11-19T00:00:00+02:00,8.3461,8.4083,8.318,8.4083
2001-11-26T00:00:00+02:00,8.37,8.4636,8.31,8.3991
2001-12-03T00:00:00+02:00,8.265,8.3479,8.218,8.249
2001-12-10T00:00:00+02:00,8.274,8.3165,8.124,8.2233
2001-12-17T00:00:00+02:00,8.123,8.2321,8.123,8.201
2001-12-24T00:00:00+02:00,8.204,8.3005,8.204,8.3005
2001-12-31T00:00:00+02:00,8.239,8.3334,8.1,8.2292
2002-01-07T00:00:00+02:00,8.2985,8.4331,8.2985,8.3959
2002-01-14T00:00:00+02:00,8.4382,8.5794,8.3897,8.5794
2002-01-21T00:00:00+02:00,8.5414,8.6285,8.5414,8.6285
2002-01-28T00:00:00+02:00,8.7724,8.7992,8.7724,8.7964
2002-02-04T00:00:00+02:00,8.786,8.786,8.6253,8.6253
2002-02-11T00:00:00+02:00,8.5866,8.5866,8.5126,8.5426
2002-02-18T00:00:00+02:00,8.507,8.5559,8.4855,8.5559
2002-02-25T00:00:00+02:00,8.5163,8.5163,8.5163,8.5163
2002-03-04T00:00:00+02:00,8.447,8.447,8.362,8.382
2002-03-11T00:00:00+02:00,8.383,8.383,8.283,8.283
2002-03-18T00:00:00+02:00,8.299,8.314,8.299,8.314
2002-03-25T00:00:00+02:00,8.398,8.419,8.398,8.414
2002-04-01T01:00:00+03:00,8.37,8.37,8.324,8.324
2002-04-08T01:00:00+03:00,8.388,8.388,8.388,8.388
2002-04-22T01:00:00+03:00,8.25,8.25,8.19,8.19
2002-04-29T01:00:00+03:00,8.126,8.154,8.091,8.091
2002-05-06T01:00:00+03:00,8.019,8.086,8.019,8.057
2002-05-13T01:00:00+03:00,8.035,8.095,7.985,7.985
2002-05-20T01:00:00+03:00,7.973,7.997,7.915,7.98
2002-05-27T01:00:00+03:00,7.909,7.909,7.799,7.799
2002-06-03T01:00:00+03:00,7.868,7.868,7.7324,7.7324
2002-06-10T01:00:00+03:00,7.702,7.7533,7.686,7.686
2002-06-17T01:00:00+03:00,7.73,7.73,7.559,7.559
2002-06-24T01:00:00+03:00,7.427,7.465,7.315,7.315
2002-07-01T01:00:00+03:00,7.358,7.482,7.358,7.482
2002-07-08T01:00:00+03:00,7.337,7.43,7.337,7.384
2002-07-15T01:00:00+03:00,7.298,7.298,7.233,7.233
2002-07-22T01:00:00+03:00,7.28,7.386,7.265,7.365
2002-07-29T01:00:00+03:00,7.502,7.553,7.477,7.492
2002-08-05T01:00:00+03:00,7.497,7.607,7.497,7.528
2002-08-12T01:00:00+03:00,7.473,7.482,7.421,7.421
2002-08-19T01:00:00+03:00,7.472,7.507,7.472,7.507
2002-08-26T01:00:00+03:00,7.536,7.536,7.434,7.451
2002-09-02T01:00:00+03:00,7.398,7.425,7.338,7.425
2002-09-09T01:00:00+03:00,7.453,7.506,7.426,7.426
2002-09-16T01:00:00+03:00,7.519,7.554,7.404,7.422
2002-09-23T01:00:00+03:00,7.411,7.468,7.411,7.468
2002-09-30T01:00:00+03:00,7.402,7.481,7.402,7.481
2002-10-07T01:00:00+03:00,7.513,7.52,7.48,7.509
2002-10-14T01:00:00+03:00,7.535,7.628,7.535,7.628
2002-10-21T01:00:00+03:00,7.626,7.657,7.612,7.612
2002-10-28T00:00:00+02:00,7.615,7.615,7.54,7.54
2002-11-04T00:00:00+02:00,7.474,7.474,7.366,7.366
2002-11-11T00:00:00+02:00,7.368,7.38,7.368,7.371
2002-11-18T00:00:00+02:00,7.376,7.376,7.306,7.375
2002-11-25T00:00:00+02:00,7.463,7.463,7.463,7.463
2002-12-02T00:00:00+02:00,7.484,7.484,7.282,7.285
2002-12-09T00:00:00+02:00,7.287,7.308,7.193,7.196
2002-12-16T00:00:00+02:00,7.199,7.206,7.135,7.201
2002-12-23T00:00:00+02:00,7.176,7.208,7.094,7.097
2002-12-30T00:00:00+02:00,7.056,7.201,7.008,7.18
2003-01-20T00:00:00+02:00,6.961,6.978,6.954,6.978
2003-01-27T00:00:00+02:00,6.938,6.995,6.908,6.995
2003-02-03T00:00:00+02:00,6.945,6.992,6.934,6.953
2003-02-10T00:00:00+02:00,6.977,6.977,6.977,6.977
2003-02-17T00:00:00+02:00,7.033,7.033,7.033,7.033
2003-02-24T00:00:00+02:00,7.052,7.071,7.011,7.071
2003-03-03T00:00:00+02:00,7.057,7.057,6.937,6.947
2003-03-10T00:00:00+02:00,6.871,6.909,6.871,6.885
2003-03-17T00:00:00+02:00,7.036,7.193,7.036,7.178
2003-03-24T00:00:00+02:00,7.186,7.199,7.164,7.19
2003-03-31T01:00:00+03:00,6.93,7.0214,6.93,7.0106
2003-04-07T01:00:00+03:00,7.045,7.0609,6.936,7.0302
2003-04-14T01:00:00+03:00,6.971,6.9791,6.848,6.899
2003-04-21T01:00:00+03:00,6.862,6.9099,6.8489,6.8489
2003-04-28T01:00:00+03:00,6.787,6.8956,6.674,6.7306
2003-05-05T01:00:00+03:00,6.707,6.7562,6.5428,6.5428
2003-05-12T01:00:00+03:00,6.447,6.562,6.447,6.447
2003-05-19T01:00:00+03:00,6.407,6.4356,6.376,6.388
2003-05-26T01:00:00+03:00,6.299,6.4278,6.299,6.4136
2003-06-02T01:00:00+03:00,6.4432,6.4615,6.3747,6.4478
2003-06-09T01:00:00+03:00,6.4322,6.4559,6.392,6.392
2003-06-16T01:00:00+03:00,6.325,6.4781,6.325,6.4781
2003-06-23T01:00:00+03:00,6.459,6.5602,6.45,6.5602
2003-06-30T01:00:00+03:00,6.52,6.5322,6.439,6.5175
2003-07-07T01:00:00+03:00,6.576,6.6446,6.576,6.632
2003-07-14T01:00:00+03:00,6.593,6.6923,6.579,6.6677
2003-07-21T01:00:00+03:00,6.587,6.6032,6.462,6.4912
2003-07-28T01:00:00+03:00,6.497,6.708,6.47,6.672
2003-08-04T01:00:00+03:00,6.642,6.6653,6.595,6.657
2003-08-11T01:00:00+03:00,6.64,6.6889,6.613,6.618
2003-08-18T01:00:00+03:00,6.637,6.8713,6.637,6.814
2003-08-25T01:00:00+03:00,6.823,6.8648,6.757,6.757
2003-09-01T01:00:00+03:00,6.864,6.9335,6.695,6.695
2003-09-08T01:00:00+03:00,6.696,6.7349,6.606,6.6179
2003-09-15T01:00:00+03:00,6.6252,6.6801,6.564,6.564
2003-09-22T01:00:00+03:00,6.5648,6.5971,6.541,6.542
2003-09-29T01:00:00+03:00,6.588,6.592,6.418,6.521
2003-10-06T01:00:00+03:00,6.529,6.529,6.4,6.402
2003-10-13T01:00:00+03:00,6.499,6.5458,6.457,6.474
2003-10-20T01:00:00+03:00,6.494,6.5211,6.405,6.411
2003-10-27T00:00:00+02:00,6.43,6.527,6.43,6.527
2003-11-03T00:00:00+02:00,6.527,6.633,6.527,6.6102
2003-11-10T00:00:00+02:00,6.57,6.5933,6.421,6.421
2003-11-17T00:00:00+02:00,6.427,6.475,6.374,6.4045
2003-11-24T00:00:00+02:00,6.443,6.5106,6.35,6.4022
2003-12-01T00:00:00+02:00,6.36,6.399,6.301,6.301
2003-12-08T00:00:00+02:00,6.267,6.3298,6.215,6.215
2003-12-15T00:00:00+02:00,6.24,6.24,6.089,6.1812
2003-12-22T00:00:00+02:00,6.1558,6.166,6.1417,6.1417
2003-12-29T00:00:00+02:00,6.1255,6.1255,6.0526,6.0892
2004-01-05T00:00:00+02:00,6.0601,6.079,6.0013,6.0013
2004-01-12T00:00:00+02:00,6.0297,6.2167,6.0297,6.2167
2004-01-19T00:00:00+02:00,6.1342,6.1342,6.0681,6.0687
2004-01-26T00:00:00+02:00,6.1181,6.1921,6.0889,6.1714
2004-02-02T00:00:00+02:00,6.1646,6.1646,6.0101,6.0101
2004-02-09T00:00:00+02:00,6.0254,6.0479,5.9733,5.985
2004-02-16T00:00:00+02:00,5.9764,6.0428,5.97,6.0428
2004-02-23T00:00:00+02:00,6.0928,6.1192,6.0398,6.0996
2004-03-01T00:00:00+02:00,6.0784,6.2445,6.0784,6.0809
2004-03-08T00:00:00+02:00,6.0977,6.1646,6.0818,6.1641
2004-03-15T00:00:00+02:00,6.1641,6.1641,6.0157,6.027
2004-03-22T00:00:00+02:00,5.981,6.1087,5.981,6.1087
2004-03-29T01:00:00+03:00,6.0947,6.1968,6.0567,6.1968
2004-04-05T01:00:00+03:00,6.2507,6.2507,6.1685,6.1925
2004-04-12T01:00:00+03:00,6.1798,6.2852,6.1798,6.2246
2004-04-19T01:00:00+03:00,6.2309,6.4024,6.2309,6.4024
2004-04-26T01:00:00+03:00,6.3815,6.3815,6.235,6.235
2004-05-03T01:00:00+03:00,6.2267,6.2372,6.1435,6.2372
2004-05-10T01:00:00+03:00,6.2622,6.3095,6.2381,6.2381
2004-05-17T01:00:00+03:00,6.167,6.1989,6.1484,6.1484
2004-05-24T01:00:00+03:00,6.1601,6.1601,5.9914,6.0183
2004-05-31T01:00:00+03:00,6.012,6.0336,5.9893,6.0336
2004-06-07T01:00:00+03:00,6.0121,6.1562,6.0121,6.1562
2004-06-14T01:00:00+03:00,6.1105,6.1361,6.0777,6.0777
2004-06-21T01:00:00+03:00,6.0916,6.0947,6.0507,6.0753
2004-06-28T01:00:00+03:00,6.0372,6.0669,5.9706,5.9706
2004-07-05T01:00:00+03:00,5.9974,5.9974,5.9437,5.9437
2004-07-12T01:00:00+03:00,5.9448,5.9868,5.9224,5.9224
2004-07-19T01:00:00+03:00,5.9241,6.0266,5.9241,6.0103
2004-07-26T01:00:00+03:00,6.072,6.1572,6.072,6.1404
2004-08-02T01:00:00+03:00,6.1214,6.1214,5.9978,5.9978
2004-08-09T01:00:00+03:00,5.9958,6.0017,5.9329,5.9329
2004-08-16T01:00:00+03:00,5.9457,5.9873,5.9457,5.9873
2004-08-23T01:00:00+03:00,6.0507,6.1386,6.0507,6.1386
2004-08-30T01:00:00+03:00,6.1191,6.1199,6.0462,6.1199
2004-09-06T01:00:00+03:00,6.123,6.123,5.9925,5.9925
2004-09-13T01:00:00+03:00,6.023,6.0725,5.993,6.0662
2004-09-20T01:00:00+03:00,6.087,6.1375,6.0591,6.1375
2004-09-27T01:00:00+03:00,6.1455,6.1567,6.0942,6.1204
2004-10-04T01:00:00+03:00,6.1374,6.1997,5.6984,6.0937
2004-10-11T01:00:00+03:00,6.1006,6.1734,5.6863,6.0228
2004-10-18T01:00:00+03:00,6.0211,6.0303,5.9236,5.9439
2004-10-25T01:00:00+03:00,5.8736,5.9291,5.8252,5.8427
2004-11-01T00:00:00+02:00,5.8492,5.9259,5.8295,5.8295
2004-11-08T00:00:00+02:00,5.8355,5.8984,5.8239,5.8317
2004-11-15T00:00:00+02:00,5.8374,5.8584,5.7774,5.7804
2004-11-22T00:00:00+02:00,5.7932,5.8291,5.6929,5.6929
2004-11-29T00:00:00+02:00,5.7078,5.7311,5.6126,5.6126
